Year_Query,Category,Title,Snippet,Link,Raw_Date,aid_date
2009,Aid,Memorandum of Understanding - U.S. Department of State,The United States and Israel reaffirm the importance of continuing annual U.S. military assistance to Israel and cooperative missile defense ...Read more,https://2009-2017.state.gov/documents/organization/265160.pdf,"Sep 7, 2016",2016-09-07 00:00:00+00:00
2010,Aid,Memorandum of Understanding - U.S. Department of State,The United States and Israel reaffirm the importance of continuing annual U.S. military assistance to Israel and cooperative missile defense ...Read more,https://2009-2017.state.gov/documents/organization/265160.pdf,"Sep 7, 2016",2016-09-07 00:00:00+00:00
2019,Aid,Memorandum of Understanding - U.S. Department of State,The United States and Israel reaffirm the importance of continuing annual U.S. military assistance to Israel and cooperative missile defense ...Read more,https://2009-2017.state.gov/documents/organization/265160.pdf,"Sep 7, 2016",2016-09-07 00:00:00+00:00
2012,Aid,"US, Israel reach record military aid deal",The Obama administration is upping aid to Israel as part of the largest pledge of military assistance in US history.,https://www.cnn.com/2016/09/13/politics/us-israel-military-aid-package-mou,"Sep 13, 2016",2016-09-13 00:00:00+00:00
2013,Aid,"US, Israel reach record military aid deal",The Obama administration is upping aid to Israel as part of the largest pledge of military assistance in US history.,https://www.cnn.com/2016/09/13/politics/us-israel-military-aid-package-mou,"Sep 13, 2016",2016-09-13 00:00:00+00:00
2010,Aid,"US, Israel reach record military aid deal",The Obama administration is upping aid to Israel as part of the largest pledge of military assistance in US history.,https://www.cnn.com/2016/09/13/politics/us-israel-military-aid-package-mou,"Sep 13, 2016",2016-09-13 00:00:00+00:00
2005,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2005,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2009,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2004,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2004,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2015,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2012,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2006,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2006,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2010,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2009,Aid,Memorandum of Understanding Reached with Israel,"Since President Obama took office, the United States has provided Israel over $23.5 billion in FMF assistance (from 2009-2016). In FY2016, the ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2013,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2010,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2007,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2011,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2014,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2008,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2013,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2008,Aid,Memorandum of Understanding Reached with Israel,"Since President Obama took office, the United States has provided Israel over $23.5 billion in FMF assistance (from 2009-2016). In FY2016, the ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2015,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2009,Aid,Statement on the Memorandum of Understanding Between ...,"The new MOU constitutes the single largest pledge of military assistance in U.S. history, totaling $38 billion over 10 years, including $33 ...Read more",https://www.presidency.ucsb.edu/documents/statement-the-memorandum-understanding-between-the-united-states-and-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2003,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2003,Aid,Memorandum of Understanding Reached with Israel,"Under the new MOU with Israel, the Obama Administration has made the largest single pledge of military assistance in U.S. history: The total ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2023,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2022,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1996,Aid,Memorandum of Understanding Reached with Israel,"Under the new MOU with Israel, the Obama Administration has made the largest single pledge of military assistance in U.S. history: The total ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1996,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1997,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1997,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2019,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1998,Aid,US & Israel Security Assistance MOU Signing,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1998,Aid,Memorandum of Understanding Reached with Israel,"Under the new MOU with Israel, the Obama Administration has made the largest single pledge of military assistance in U.S. history: The total ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2018,Aid,"Israel, U.S. Sign Record Military Assistance Agreement","The agreement allocates $5 billion over the 10-year span for missile defense assistance, further deepening U.S.-Israeli missile defense ties.Read more",https://missilethreat.csis.org/israel-u-s-sign-record-military-assistance-agreement/,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1999,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2018,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2000,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2000,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1999,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2002,Aid,Memorandum of Understanding Reached with Israel,"Under the new MOU with Israel, the Obama Administration has made the largest single pledge of military assistance in U.S. history: The total ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2016,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats.Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2002,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2012,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2000,Aid,Obama hands Israel the largest military aid deal in history,The Obama administration has signed a $38 billion military aid pact with Israel in what the State Department boasts is the “single largest pledge of bilateral ...Read more,https://electronicintifada.net/blogs/rania-khalek/obama-hands-israel-largest-military-aid-deal-history,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2001,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2017,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2011,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2001,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2014,Aid,Israel's New MOU: The Money and the Message,The United States and Israel signed a ten-year Memorandum of Understanding under which Washington will provide $38 billion in military assistance over the ...Read more,https://www.washingtoninstitute.org/policy-analysis/israels-new-mou-money-and-message,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2012,Aid,Israel's New MOU: The Money and the Message,The United States and Israel signed a ten-year Memorandum of Understanding under which Washington will provide $38 billion in military assistance over the ...Read more,https://www.washingtoninstitute.org/policy-analysis/israels-new-mou-money-and-message,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2002,Aid,"U.S., Israel sign $38 billion military aid package","The United States will give Israel $38 billion in military assistance over the next decade, the largest such aid package in US history, under a landmark ...Read more",https://www.reuters.com/article/world/us-israel-sign-38-billion-military-aid-package-idUSKCN11K2CI/,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2014,Aid,"U.S., Israel sign $38 billion military aid package","The United States will give Israel $38 billion in military assistance over the next decade, the largest such aid package in US history, under a landmark ...Read more",https://www.reuters.com/article/world/us-israel-sign-38-billion-military-aid-package-idUSKCN11K2CI/,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2015,Aid,Israel's New MOU: The Money and the Message,The United States and Israel signed a ten-year Memorandum of Understanding under which Washington will provide $38 billion in military assistance over the ...Read more,https://www.washingtoninstitute.org/policy-analysis/israels-new-mou-money-and-message,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2013,Aid,New US-Israeli Military Aid Package Reflects Shifts in ...,"The United States and Israel signed a new 10-year Memorandum of Understanding (MOU) on military aid, which replaces a previous MOU set to expire in October ...Read more",https://arabcenterdc.org/resource/new-us-israeli-military-aid-package-reflects-shifts-in-relationship/,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2009,Aid,"U.S., Israel sign $38 billion military aid package","The United States will give Israel $38 billion in military assistance over the next decade, the largest such aid package in US history, under a landmark ...Read more",https://www.reuters.com/article/world/us-israel-sign-38-billion-military-aid-package-idUSKCN11K2CI/,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2017,Aid,Israel's New MOU: The Money and the Message,The United States and Israel signed a ten-year Memorandum of Understanding under which Washington will provide $38 billion in military assistance over the ...Read more,https://www.washingtoninstitute.org/policy-analysis/israels-new-mou-money-and-message,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2019,Aid,"U.S., Israel sign $38 billion military aid package",The $38 billion memorandum of understanding covers U.S. fiscal years 2019-2028 and succeeds the current $30 billion MOU signed in 2007 ...Read more,https://www.reuters.com/article/world/us-israel-sign-38-billion-military-aid-package-idUSKCN11K2CI/,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2011,Aid,Israel's New MOU: The Money and the Message,The United States and Israel signed a ten-year Memorandum of Understanding under which Washington will provide $38 billion in military assistance over the ...Read more,https://www.washingtoninstitute.org/policy-analysis/israels-new-mou-money-and-message,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2016,Aid,Israel's New MOU: The Money and the Message,The United States and Israel signed a ten-year Memorandum of Understanding under which Washington will provide $38 billion in military assistance over the ...Read more,https://www.washingtoninstitute.org/policy-analysis/israels-new-mou-money-and-message,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2018,Aid,Israel's New MOU: The Money and the Message,The United States and Israel signed a ten-year Memorandum of Understanding under which Washington will provide $38 billion in military assistance over the ...Read more,https://www.washingtoninstitute.org/policy-analysis/israels-new-mou-money-and-message,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2016,Aid,US and Israel sign record $38bn military aid deal,The United States has signed a record $38bn deal to provide Israel with military assistance over a 10-year period – the largest such agreement ever by the US ...Read more,https://www.aljazeera.com/news/2016/9/15/us-and-israel-sign-record-38bn-military-aid-deal,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2015,Aid,"U.S., Israel sign $38 billion military aid package","The United States will give Israel $38 billion in military assistance over the next decade, the largest such aid package in U.S. history, ...",https://www.reuters.com/article/world/us-israel-sign-38-billion-military-aid-package-idUSKCN11K2CI/,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2017,Aid,New US-Israeli Military Aid Package Reflects Shifts in ...,"The United States and Israel signed a new 10-year Memorandum of Understanding (MOU) on military aid, which replaces a previous MOU set to expire in October ...Read more",https://arabcenterdc.org/resource/new-us-israeli-military-aid-package-reflects-shifts-in-relationship/,"Sep 15, 2016",2016-09-15 00:00:00+00:00
2012,Aid,US Foreign Aid to Israel,"Under the terms of the MOU, the United States pledges to provide $38 billion in military aid ($33 billion in FMF grants plus $5 billion in ...Read more",https://www.everycrsreport.com/files/20161222_RL33222_4cb6836e32617afe209db00c655677d0a70ca55f.html,"Dec 22, 2016",2016-12-22 00:00:00+00:00
1996,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.congress.gov/crs_external_products/RL/PDF/RL33222/RL33222.34.pdf,"Feb 5, 2018",2018-02-05 00:00:00+00:00
2014,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.congress.gov/crs_external_products/RL/PDF/RL33222/RL33222.34.pdf,"Feb 5, 2018",2018-02-05 00:00:00+00:00
2016,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.congress.gov/crs_external_products/RL/PDF/RL33222/RL33222.34.pdf,"Feb 5, 2018",2018-02-05 00:00:00+00:00
2013,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.congress.gov/crs_external_products/RL/PDF/RL33222/RL33222.34.pdf,"Feb 5, 2018",2018-02-05 00:00:00+00:00
2015,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.congress.gov/crs_external_products/RL/PDF/RL33222/RL33222.34.pdf,"Feb 5, 2018",2018-02-05 00:00:00+00:00
2012,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.congress.gov/crs_external_products/RL/PDF/RL33222/RL33222.34.pdf,"Feb 5, 2018",2018-02-05 00:00:00+00:00
2003,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.congress.gov/crs_external_products/RL/PDF/RL33222/RL33222.34.pdf,"Feb 5, 2018",2018-02-05 00:00:00+00:00
2011,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.congress.gov/crs_external_products/RL/PDF/RL33222/RL33222.34.pdf,"Feb 5, 2018",2018-02-05 00:00:00+00:00
