file,raw_date,date,doc_type,context
Epstein%20Part%2017%20(Redacted).txt,"April 10, 2003",2003-04-10,legislation,"April 10, 2003 Krister Ahlstrom, Chairman, Ahlstrom Corp. Helsinki"
Epstein%20Part%2017%20(Redacted).txt,"April 18, 2003",2003-04-18,legislation,"April 18, 2003 ""Silence Remain:"
Epstein%20Part%2017%20(Redacted).txt,"April 21, 2003",2003-04-21,legislation,"April 21, 2003 ""U.S. Easter cele"
Epstein%20Part%2017%20(Redacted).txt,"April 21, 2003",2003-04-21,legislation,"April 21, 2003 ""The rise of auth"
Epstein%20Part%2017%20(Redacted).txt,"August 1, 2003",2003-08-01,legislation,"August 1, 2003 We can only imagine Limited founder and apparel mag- nate Leslie Wexner's"
Epstein%20Part%2017%20(Redacted).txt,"August 1, 2003",2003-08-01,legislation,"August 1, 2003 ""The Wexner Wa"
Epstein%20Part%2017%20(Redacted).txt,"August 1, 2003",2003-08-01,legislation,"August 1, 2003 ""Why four died ii"
04-376_JurisIni.txt,"November 14, 2003",2003-11-14,legislation,"Appeal, in its Opinion dated November 14, 2003, affirmed the award of permanent"
04-376_JurisIni.txt,"January 30, 2004",2004-01-30,legislation,"Wife’s Motion for Rehearing was Denied on January 30, 2004, and the Wife timely"
04-376_JurisIni.txt,"March 1, 2004",2004-03-01,legislation,"filed a Notice to Invoke Jurisdiction of Supreme Court on March 1, 2004."
04-376.txt,"SEPTEMBER 20, 2004",2004-09-20,legislation,"Supreme Court of FloridaMONDAY, SEPTEMBER 20, 2004"
Epstein%20Part%2017%20(Redacted).txt,1/09/2005,2005-01-09,legislation,@1/09/2005 15:15 	5614786553 	JEGE OR HYPERION AIR 	 FIAUt tic
Epstein%20Part%2017%20(Redacted).txt,01/09/2005,2005-01-09,legislation,tier 	\ S 3 u TO P 01/09/2005 15:15 5614786553 JEGE OR HYPERION AIR 	 PAGE 01
Epstein%20Part%2017%20(Redacted).txt,1/30/2005,2005-01-30,legislation,littp://pqasb.pqarchiver.com/nypost/283218771.html?MAC=cd5f1b288a6f3a0603f273e6.. . I 1/30/2005
Epstein%20Part%2017%20(Redacted).txt,"March 15, 2005",2005-03-15,legislation,"From March 15, 2005, through February 2006, the Palm Beach Police Department conducts"
Epstein%20Part%2017%20(Redacted).txt,03/15/2005,2005-03-15,legislation,"On 03/15/2005, A fourteen year old white female, hereinafter referred to as"
Epstein%20Part%2017%20(Redacted).txt,04/07/2005,2005-04-07,legislation,04/07/2005 16:53 	5614786553 	JEGE OR HYPERION AIR 	PAGE 01
Epstein%20Part%2017%20(Redacted).txt,04/07/2005,2005-04-07,legislation,Number 04/07/2005 16:53 	5614786553 	JEGE OR HYPERION AIR 	 PAGE 02
Epstein%20Part%2017%20(Redacted).txt,04/07/2005,2005-04-07,legislation,04/07/2005 16:53 5614786553 JEGE OR HYPERION AIR 	 PAGE 03
Epstein%20Part%2017%20(Redacted).txt,04/07/2005,2005-04-07,legislation,04/07/2005 17:29 	5614786553 	JEGE OR HYPERION AIR 	 PAGE 05
Epstein%20Part%2017%20(Redacted).txt,04/07/2005,2005-04-07,legislation,04/07/2005 17:29 	5614786553 	JEGE OR HYPERION AIR 	 PAGE 06
Epstein%20Part%2017%20(Redacted).txt,04/07/2005,2005-04-07,legislation,9 'No e9 04/07/2005 17:29 	5614786553 	JEGE OR HYPERION AIR 	 PAGE 08
Epstein%20Part%2017%20(Redacted).txt,05/20/2005,2005-05-20,legislation,05/20/2005 13:00 	5614786553 	JEGE OR HYPERION AIR 	 PAGE 10
Epstein%20Part%2017%20(Redacted).txt,05/20/2005,2005-05-20,legislation,05/20/2005 13:08 	5614786553 	JEGE OR HYPERION AIR
Epstein%20Part%2017%20(Redacted).txt,05/20/2005,2005-05-20,legislation,05/20/2005 13:00 	5614786553 	JEGE OR HYPERION AIR 	 PAGE 04
Epstein%20Part%2017%20(Redacted).txt,05/20/2005,2005-05-20,legislation,PAGE 17 JEGE OR HYPERION AIR 05/20/2005 13:00 5614786553
Epstein%20Part%2017%20(Redacted).txt,05/20/2005,2005-05-20,legislation,Approach 	 05/20/2005 13:00 5614786553 JEGE OR HYPERION AIR PAGE 15
Epstein%20Part%2017%20(Redacted).txt,05/20/2005,2005-05-20,legislation,05/20/2005 13:00 	5614786553 	JEGE OR HYPERION AIR 	 PAGE 13
Epstein%20Part%2017%20(Redacted).txt,06/18/2005,2005-06-18,legislation,06/18/2005 12:40 	5614786553 	JEGE OR HYPERION AIR 	PAGE 02
Epstein%20Part%2017%20(Redacted).txt,09/14/2005,2005-09-14,legislation,09/14/2005 14:16 FAX
Epstein%20Part%2017%20(Redacted).txt,09/14/2005,2005-09-14,legislation,Number  t 13 '09/14/2005 14:16 FAX 	Q1005
Epstein%20Part%2017%20(Redacted).txt,09/14/2005,2005-09-14,legislation,7. 515- Nautical Miles 09/14/2005 14:16 FAX 	 x004
Epstein%20Part%2017%20(Redacted).txt,09/14/2005,2005-09-14,legislation,12_ Altitude FL ys 0   93 I fe? 	 09/14/2005 14:16 FAX 	 12003
Epstein%20Part%2017%20(Redacted).txt,09/14/2005,2005-09-14,legislation,09/14/2005 14:16 FAX 	 [002
2025.09.16-Letter-to-Epstein-Estate-Re.-In-Camera-Review.txt,"September 24, 2005",2005-09-24,subpoena,"Mr. Epstein’s jet on September 24, 2005. Considering President Clinton’s known ties to Mr. Epstein, this raises serious questions of whether Mr. Berger warned Mr. Epstein of the impending raid."
2025.09.16-Letter-to-Epstein-Estate-Re.-In-Camera-Review.txt,"October 2, 2005",2005-10-02,subpoena,"In addition to these messages, there are others that go directly to the failures of the U.S. Government in this case. As an example, on October 2, 2005, Sandy Berger —former"
Epstein%20Part%2017%20(Redacted).txt,11/30/2005,2005-11-30,legislation,http://pqasb.pqarchiver.com/nypost/222493931.html?MAC=90db373aedcb1c36a203f8bd.. . 11/30/2005
Epstein%20Part%2017%20(Redacted).txt,11/30/2005,2005-11-30,legislation,http://pqasb.pqarchiver.com/nypost/222493931.html'?MAC=90db373aedcblc36a203f8bd.. . 11/30/2005
Epstein%20Part%2017%20(Redacted).txt,11/30/2005,2005-11-30,legislation,http://pqasb.pqarchiver.com/nypost/222493931.html?MAC=90db373aedcb1c36a203f8  bd... 11/30/2005
Epstein%20Part%2017%20(Redacted).txt,11/30/2005,2005-11-30,legislation,htto://masb.ociarchiver.cona/nvoost/68887782.html?MAC=af7992aa59dfl 218bd1903e43... 11/30/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://newyorkmetro.com/nymetro/news/people/n_7912/ 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://newyorkmetro.com/nymetro/news/people/n_7912/ 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://newyorkmetro.com/nymetro/news/people/n_7912/ 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,Dec 07 2005,2005-12-07,legislation,"Wed Dec 07 2005 	th, 63"
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.freepress.org/columns/display/3/2003/725 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.freepress.org/columns/display/3/2003/725 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.biblebelievers.org.au/weektc.htm 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.biblebelievers.org.au/weektc.htm 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.biblebelievers.org.au/weektc.htm 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.biblebelievers.org.au/weektc.htm 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.biblebelievers.org.au/weektc.htm 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.biblebelievers.org.au/weektc.htm 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.biblebelievers.org.au/weektc.htm 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.biblebelievers.org.au/weektc.htm 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/7/2005,2005-12-07,legislation,http://www.biblebelievers.org.au/weektc.htm 	 12/7/2005
Epstein%20Part%2017%20(Redacted).txt,12/22/2005,2005-12-22,legislation,open before.... 12/22/2005 8:53 PM
Epstein%20Part%2017%20(Redacted).txt,01/11/2006,2006-01-11,legislation,01/11/2006 21 : 25 	5616404420 	 X 	 PAGE 132
Epstein%20Part%2017%20(Redacted).txt,"January 11, 2006",2006-01-11,legislation,"January 11, 2006 Lanna Belohlavek"
Epstein%20Part%2017%20(Redacted).txt,2/9/2006,2006-02-09,legislation,http://profile.myspace.com/index.cfm?fuseaction=user.viewProfile&friendID=31027962 	2/9/2006
Epstein%20Part%2017%20(Redacted).txt,"JULY 25, 2006",2006-07-25,legislation,"THE PALM BEACH POST • TUESDAY, JULY 25, 2006"
Epstein%20Part%2017%20(Redacted).txt,"July 26, 2006",2006-07-26,legislation,"Billionaire In Palm Beach Sex Scandal - July 26, 2006 	 Page 1 of 5"
Epstein%20Part%2017%20(Redacted).txt,"July 26, 2006",2006-07-26,legislation,"Billionaire In Palm Beach Sex Scandal - July 26, 2006 	 Page 2 of 5"
Epstein%20Part%2017%20(Redacted).txt,"July 26, 2006",2006-07-26,legislation,"Billionaire In Palm Beach Sex Scandal - July 26, 2006 	 Page 3 of 5"
Epstein%20Part%2017%20(Redacted).txt,"July 27, 2006",2006-07-27,legislation,"Thursday, July 27, 2006"
Epstein%20Part%2017%20(Redacted).txt,"JUL 27, 2006",2006-07-27,legislation,"— THU, JUL 27, 2006 —"
Epstein%20Part%2017%20(Redacted).txt,7/27/2006,2006-07-27,legislation,http://www.jossip.com/gossip/jeffrey-epstein/what-the-press-calls-epstein-sex-scandal-sou.. . 7/27/2006
Epstein%20Part%2017%20(Redacted).txt,7/27/2006,2006-07-27,legislation,http://www.jossip.conilgossip/jeffrey-epstein/what-the-press-calls-epstein-sex-scandal-sou.. . 7/27/2006
Epstein%20Part%2017%20(Redacted).txt,7/27/2006,2006-07-27,legislation,http://www.thesmokinggun.com/archive/0726062epsteinl.html 	 7/27/2006
Epstein%20Part%2017%20(Redacted).txt,7/27/2006,2006-07-27,legislation,http://www.thesmokinggun.comiarchive/0726062epsteinl.html 	 7/27/2006
Epstein%20Part%2017%20(Redacted).txt,7/27/2006,2006-07-27,legislation,http://www.thesmokinggun.com/archive/0726062epsteinl.html 	7/27/2006
Epstein%20Part%2017%20(Redacted).txt,"AUGUST 8, 2006",2006-08-08,legislation,"THE PALM BEACH POST 	• TUESDAY, AUGUST 8, 2006 	9B W S C"
Epstein%20Part%2017%20(Redacted).txt,"AUGUST 14, 2006",2006-08-14,legislation,"fa. C.,. 	THE PALM RFACH POST 	• 	MONDAY, AUGUST 14, 2006"
Epstein%20Part%2017%20(Redacted).txt,"AUGUST 25, 2006",2006-08-25,legislation,"FRIDAY, AUGUST 25, 2006 	OA"
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"September 24, 2007",2007-09-24,subpoena,"The September 24, 2007 non-prosecution agreement between the U.S. Attorney’s Office"
2025.08.25-Subpoena-and-Schedule-to-Epstein-Estate.txt,"September 24, 2007",2007-09-24,subpoena,"All documents and communications relating or referring to the September 24, 2007 non-"
Epstein%20Part%2017%20(Redacted).txt,"Dec 10, 2007",2007-12-10,legislation,"• Published Dec 10, 2007"
Epstein%20Part%2017%20(Redacted).txt,01/11/2008,2008-01-11,legislation,01/11/2008 21:25 5616404420
Epstein%20Part%2017%20(Redacted).txt,01/11/2008,2008-01-11,legislation,01/11/2008 21:25 5616404420 	PAGE 05 The Fantasist 	 Page 5 of 9
Epstein%20Part%2017%20(Redacted).txt,01/11/2008,2008-01-11,legislation,01/11/2008 21:25 5616404420
Epstein%20Part%2017%20(Redacted).txt,01/11/2008,2008-01-11,legislation,01/11/2008 21:25 5616404420
Epstein%20Part%2017%20(Redacted).txt,01/11/2008,2008-01-11,legislation,01/11/2008 21:25 5616404420
Epstein%20Part%2017%20(Redacted).txt,1/13/2008,2008-01-13,legislation,hrtn://www.nrintthis.clickabilitv.com/nt/cnt?action=ent&title=-The+Eantasist&expire=84url.. . 1/13/2008
Epstein%20Part%2017%20(Redacted).txt,1/13/2008,2008-01-13,legislation,httri-//www rtrintthic eli tc hifity cornintient?fiction-ent&title=The+FantagistIkexnire=Aturl... 1/13/2008
Epstein%20Part%2017%20(Redacted).txt,1/13/2008,2008-01-13,legislation,httn•//www nrinithis.clickahilitv.comintlent?action=crft&title=Tbe+Fantasist&expire=&url... 1/13/2008
Epstein%20Part%2017%20(Redacted).txt,1/13/2008,2008-01-13,legislation,intn://www.orintthis.clickabilitv.com/nt'ent?action=ept&title —The Fantasist&expire=&url... 1/13/2008
Epstein%20Part%2017%20(Redacted).txt,1/13/2008,2008-01-13,legislation,bl+n• /tummy nrintthig 	 cominticnt?actior. --crit&title=Theffantasist&exaire---&url ... 1/13/2008
Epstein%20Part%2017%20(Redacted).txt,1/13/2008,2008-01-13,legislation,"1,11-trt• 	 itlfthi c r ir VA hi I i v rnrrantIrrOart in n=i-mtAttitte-The+Fantasist&exrdre=&url... 1/13/2008"
Epstein%20Part%2017%20(Redacted).txt,1/13/2008,2008-01-13,legislation,htt„• //unsn.v nri nit h iq rtliekahiliht.r.nrrtinticnt?action —cnt&title=TheA -Fantasist&exnire- -&url... 1/13/2008
Epstein%20Part%2017%20(Redacted).txt,01/23/2008,2008-01-23,legislation,01/23/2008 15:04 5616404420 	 X 	 PAGE 01
13-2168_IntBriefMerits_090314.txt,"July 8, 2008",2008-07-08,legislation,"On July 8, 2008, eyelid surgery was performed on Ma rianne Edwards at"
13-2168_ReplyBriefMerits_102014.txt,"September 18, 2008",2008-09-18,legislation,"not until September 18, 2008 that he suspected an i nfection (R-153) and not until"
13-2168_ReplyBriefMerits_102014.txt,"October 13, 2008",2008-10-13,legislation,"October 13, 2008 that a nocardia puris infection wa s confirmed. (R-156),”"
09-1460_101909_Comments%20(Epstein).txt,"February 17, 2009",2009-02-17,legislation,"foreclosure action initiated on February 17, 2009.  Through my efforts to defend"
09-1460_102609_ResponseEpsteinComments%20(Task%20Force).txt,"August 17, 2009",2009-08-17,legislation,"The Task Force on August 17, 2009, filed a petiti on requ esting the Court to"
09-1460_102609_ResponseEpsteinComments%20(Task%20Force).txt,"September 15, 2009",2009-09-15,legislation,"By written notice publishe d in the September 15, 2009 edition of The"
09-1460_102609_ResponseEpsteinComments%20(Task%20Force).txt,"October 1, 2009",2009-10-01,legislation,"proposed rules and form changes not later than October 1, 2009.  The Task Force"
09-1460_102609_ResponseEpsteinComments%20(Task%20Force).txt,"October 12, 2009",2009-10-12,legislation,"timely filed its Response to these comments on October 12, 2009.  Lisa Epstein"
09-1460_101909_Comments%20(Epstein).txt,"October 15, 2009",2009-10-15,legislation,"Page 1 of 11  October 15, 2009"
23-085.txt,"July 21, 2014",2014-07-21,unknown,"79  BOP and Council of Prison Locals, Master Agreement, July 21, 2014 –July 20, 2021 (e xtended until 2026) ."
GOVPUB-J37-PURL-gpo214716.txt,"July 21, 2014",2014-07-21,unknown,"79  BOP and Council of Prison Locals, Master Agreement, July 21, 2014 –July 20, 2021 (e xtended until 2026) ."
13-2168_IntBriefMerits_090314.txt,09/03/2014,2014-09-03,legislation,Lincoln@ConnollyJustice.com Filing # 17822141 Electronically Filed 09/03/2014 10:36:38 PM
13-2168_IntBriefMerits_090314.txt,9/3/2014,2014-09-03,legislation,"RECEIVED, 9/3/2014 22:38:57, John A. Tomasino, Clerk, Supreme Court"
13-2168_IntBriefMerits_090314.txt,"September 3, 2014",2014-09-03,legislation,"through the Florida Courts ePortal on September 3, 2014 on:"
2557.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 05:54 Aug 01, 2025 Jkt 059200 PO 00000 Frm 00001 Fmt 6652 Sfmt 6201 E:\BILLS\S2557.IS S2557kjohnson on DSK7ZCZBW3PROD with $$_JOB"
2557.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 05:54 Aug 01, 2025 Jkt 059200 PO 00000 Frm 00002 Fmt 6652 Sfmt 6201 E:\BILLS\S2557.IS S2557kjohnson on DSK7ZCZBW3PROD with $$_JOB"
2557.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 05:54 Aug 01, 2025 Jkt 059200 PO 00000 Frm 00003 Fmt 6652 Sfmt 6201 E:\BILLS\S2557.IS S2557kjohnson on DSK7ZCZBW3PROD with $$_JOB"
2557.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 05:54 Aug 01, 2025 Jkt 059200 PO 00000 Frm 00004 Fmt 6652 Sfmt 6201 E:\BILLS\S2557.IS S2557kjohnson on DSK7ZCZBW3PROD with $$_JOB"
2557.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 05:54 Aug 01, 2025 Jkt 059200 PO 00000 Frm 00005 Fmt 6652 Sfmt 6201 E:\BILLS\S2557.IS S2557kjohnson on DSK7ZCZBW3PROD with $$_JOB"
2557.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 05:54 Aug 01, 2025 Jkt 059200 PO 00000 Frm 00006 Fmt 6652 Sfmt 6201 E:\BILLS\S2557.IS S2557kjohnson on DSK7ZCZBW3PROD with $$_JOB"
2557.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 05:54 Aug 01, 2025 Jkt 059200 PO 00000 Frm 00007 Fmt 6652 Sfmt 6301 E:\BILLS\S2557.IS S2557kjohnson on DSK7ZCZBW3PROD with $$_JOB"
4725.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 04:48 Nov 19, 2025 Jkt 069060 PO 00000 Frm 00017 Fmt 7634 Sfmt 0634 E:\CR\FM\K18NO7.032 H18NOPT1DMWilson on DSK7X7S144PROD with HOUSE"
4725.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 04:48 Nov 19, 2025 Jkt 069060 PO 00000 Frm 00018 Fmt 7634 Sfmt 0634 E:\CR\FM\K18NO7.035 H18NOPT1DMWilson on DSK7X7S144PROD with HOUSE"
4725.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 04:57 Nov 19, 2025 Jkt 069060 PO 00000 Frm 00019 Fmt 7634 Sfmt 0634 E:\CR\FM\K18NO7.037 H18NOPT1DMWilson on DSK7X7S144PROD with HOUSE"
4725.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 04:57 Nov 19, 2025 Jkt 069060 PO 00000 Frm 00020 Fmt 7634 Sfmt 0634 E:\CR\FM\K18NO7.039 H18NOPT1DMWilson on DSK7X7S144PROD with HOUSE"
4725.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 04:57 Nov 19, 2025 Jkt 069060 PO 00000 Frm 00021 Fmt 7634 Sfmt 0634 E:\CR\FM\K18NO7.041 H18NOPT1DMWilson on DSK7X7S144PROD with HOUSE"
4725.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 04:57 Nov 19, 2025 Jkt 069060 PO 00000 Frm 00022 Fmt 7634 Sfmt 0634 E:\CR\FM\K18NO7.042 H18NOPT1DMWilson on DSK7X7S144PROD with HOUSE"
635.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 20:37 Aug 05, 2025 Jkt 059200 PO 00000 Frm 00001 Fmt 6652 Sfmt 6300 E:\BILLS\HR635.IH HR635kjohnson on DSK7ZCZBW3PROD with $$_JOB"
635.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 20:37 Aug 05, 2025 Jkt 059200 PO 00000 Frm 00002 Fmt 6652 Sfmt 6201 E:\BILLS\HR635.IH HR635kjohnson on DSK7ZCZBW3PROD with $$_JOB"
635.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 20:37 Aug 05, 2025 Jkt 059200 PO 00000 Frm 00003 Fmt 6652 Sfmt 6301 E:\BILLS\HR635.IH HR635kjohnson on DSK7ZCZBW3PROD with $$_JOB"
BILLS-119hr4405ih.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 00:13 Jul 19, 2025 Jkt 059200 PO 00000 Frm 00001 Fmt 6652 Sfmt 6201 E:\BILLS\H4405.IH H4405kjohnson on DSK7ZCZBW3PROD with $$_JOB"
BILLS-119hr4405ih.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 00:13 Jul 19, 2025 Jkt 059200 PO 00000 Frm 00002 Fmt 6652 Sfmt 6201 E:\BILLS\H4405.IH H4405kjohnson on DSK7ZCZBW3PROD with $$_JOB"
BILLS-119hr4405ih.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 00:13 Jul 19, 2025 Jkt 059200 PO 00000 Frm 00003 Fmt 6652 Sfmt 6201 E:\BILLS\H4405.IH H4405kjohnson on DSK7ZCZBW3PROD with $$_JOB"
BILLS-119hr4405ih.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 20:40 Jul 23, 2025 Jkt 089200 PO 00000 Frm 00004 Fmt 6652 Sfmt 6201 E:\BILLS\H4405.IH H4405kjohnson on DSK7ZCZBW3PROD with $$_JOB"
BILLS-119hr4405ih.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 00:13 Jul 19, 2025 Jkt 059200 PO 00000 Frm 00005 Fmt 6652 Sfmt 6201 E:\BILLS\H4405.IH H4405kjohnson on DSK7ZCZBW3PROD with $$_JOB"
BILLS-119hr4405ih.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 00:13 Jul 19, 2025 Jkt 059200 PO 00000 Frm 00006 Fmt 6652 Sfmt 6301 E:\BILLS\H4405.IH H4405kjohnson on DSK7ZCZBW3PROD with $$_JOB"
BILLS-119hres913ih.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 21:50 Nov 25, 2025 Jkt 069200 PO 00000 Frm 00001 Fmt 6652 Sfmt 6300 E:\BILLS\HR913.IH HR913kjohnson on DSK7ZCZBW3PROD with $$_JOB"
BILLS-119hres913ih.txt,Sep 11 2014,2014-09-11,legislation,"VerDate Sep 11 2014 21:50 Nov 25, 2025 Jkt 069200 PO 00000 Frm 00002 Fmt 6652 Sfmt 6201 E:\BILLS\HR913.IH HR913kjohnson on DSK7ZCZBW3PROD with $$_JOB"
