date,event,category,snippet,source_url
2025-12-24,Elon Musk's DOGE tally: The federal workforce is down ...,Political_Event,The Department of Government Efficiency — formerly run by Elon Musk — ends 2025 with strikingly divergent results around its two primary goals.,https://finance.yahoo.com/news/elon-musks-doge-tally-the-federal-workforce-is-down-while-government-spending-is-up-192850019.html
2025-12-24,"Christmas, 'sorrowing humanity,' and the voice of the popes",Holiday,"During Mass on the solemnity of the Nativity of the Lord, Pope Francis urged Christians to commit themselves to transforming the world:",https://www.vaticannews.va/en/pope/news/2025-12/christmas-sorrowing-humanity-and-the-voice-of-the-popes.html
2025-12-24,DOGE promised to cut government spending. It went up ...,Holiday,"“The federal government spent $7.6 trillion in the first 11 months of calendar year 2025, approximately $248 billion higher by November of 2025 compared to the ...",https://www.the-independent.com/news/world/americas/us-politics/trump-doge-government-spending-2025-b2890243.html
2025-12-24,Christmas at the Vatican 2025 - Complete Guide to Papal ...,Holiday,"The Epiphany Mass at St. Peter's Basilica will mark the official conclusion of the 2025 Jubilee Year, which runs from December 24, 2024, to January 6, 2026.",https://toursaroundglobe.com/christmas-at-the-vatican/
2025-12-24,Pope Leo XIV revives tradition during first Christmas of his ...,Holiday,"Pope Leo XIV greets pilgrims gathered in St. Peter's Square at the Vatican for the recitation of the Angelus on December 21, 2025. Pope Leo XIV will celebrate ...",https://catholictimescolumbus.org/us-world/pope-leo-xiv-revives-tradition-during-first-christmas-of-his-pontificate/
2025-12-24,Pope Leo calls for kindness to strangers and the poor in ...,Holiday,"Refusing to help those in need is tantamount to rejecting God himself, says pontiff during Christmas Eve mass.",https://www.theguardian.com/world/2025/dec/24/pope-leo-christmas-message-kindness-strangers-poor
2025-12-24,DOJ Finds a Million More Epstein Files It Needs to Review,Holiday,The department faced an “emergency request” for staff to review and redact documents two days before Christmas due to the tight deadline. Victims and the public ...,https://www.wsj.com/politics/policy/epstein-files-trump-doj-release-problems-eb13cd72?gaa_at=eafs&gaa_n=AWEtsqeB-l_Nk7AdriFwaR99b8Kgq6yiDKHzPs_JDJ4hfaiWdSR8w7r9_G4B&gaa_ts=69595fe7&gaa_sig=8sY5hVP-vAXNvjdDm9V2qe_ddBFIOzgD6l3kFEWQYAcOWbTtqKGrvs68XLJJE2T2njCqVRbFq4pEKDljy_y2xA%3D%3D
2025-12-24,Bank Holidays,Holiday,"Wednesday, 24. December 2025, Christmas Eve ; Thursday, 25. December 2025, Christmas Day ; Friday, 26. December 2025, St Stephen's Day ; Wednesday, 31. December ...",https://www.bankfrick.li/en/bank-holidays
2025-12-25,The Federal Government has announced that December ...,Holiday,"The Federal Government has announced that December 25 and 26, 2025, along with January 1, 2026, will be observed as public holidays in celebration of Christmas ...",https://www.facebook.com/plateau.journal/posts/the-federal-government-has-announced-that-december-25-and-26-2025-along-with-jan/901651958976190/
2025-12-25,Free Printable Calendars - 2026 Monthly & 2026 Yearly ...,Holiday,"Download free printable calendars for both 2025 and 2026. Choose monthly, yearly, holidays, and blank templates. Using calendars for organizing offers multiple ...",https://www.free-printable-calendar.com/
2025-12-25,DOJ says it may need a 'few more weeks' to finish ...,Media_Reaction,"DOJ says it may need a 'few more weeks' to finish releasing Epstein files. December 25, 20253:06 AM ET. By. The Associated Press.",https://www.npr.org/2025/12/25/g-s1-103685/doj-says-few-more-weeks-epstein-files
2025-12-25,"In first Christmas sermon, Pope Leo decries conditions for ...",Holiday,"VATICAN CITY, Dec 25 (Reuters) - Pope Leo decried conditions for Palestinians in Gaza in his Christmas sermon on Thursday, in an unusually direct appeal ...",https://www.reuters.com/world/middle-east/first-christmas-sermon-pope-leo-decries-conditions-palestinians-gaza-2025-12-25/
2025-12-25,Pope Leo XIV during his first Christmas Day ...,Holiday,"Pope Leo XIV during his first Christmas Day message on Thursday urged the faithful to shed indifference in the face of those who have lost everything,...",https://www.facebook.com/pittsburghpostgazette/posts/pope-leo-xiv-during-his-first-christmas-day-message-on-thursday-urged-the-faithf/1269178211923704/
2025-12-25,Pope Leo XIV's Christmas address urges faithful to shed ...,Holiday,VATICAN CITY — Pope Leo XIV during his first Christmas Day message on Thursday urged the faithful to shed indifference in the face of those who have lost ...,https://www.npr.org/2025/12/25/g-s1-103696/pope-leo-xiv-christmas-address-indifference-suffering-gaza-yemen-migrants
2025-12-25,The Year in Dogecoin 2025: DOGE Goes Political and ...,Holiday,"Dogecoin spent 2025 caught between political controversy and corporate interest, falling sharply in price along the way. Elon Musk's Department of ...",https://decrypt.co/350999/year-dogecoin-2025-doge-goes-political-commercial-keeps-falling
2025-12-26,Trading Calendar,Holiday,Tradeweb observes the holidays below and will remind clients when the Market will be closed or will close early. Holiday. Date. Day before Christmas Day ...,https://www.tradeweb.com/who-we-are/trading-calendar/
2025-12-26,"DOGE hits, insurance premiums and school vouchers ...",Holiday,"With those subsidies expiring at the end of the year, costs are surging for consumers in Wyoming, which leads the country with the highest price jumps.",https://wyofile.com/doge-hits-insurance-premiums-and-school-vouchers-underscore-2025-in-health-and-education/
2025-12-26,Is Oracle a Sinking Ship or a Buying Opportunity?,Media_Reaction,Oracle (NYSE:ORCL) ignited the stock market after dropping its fiscal first-quarter 2026 earnings and sent its own stock soaring 40%… Premarket Movers ...,https://247wallst.com/investing/2025/12/26/is-oracle-a-sinking-ship-or-a-buying-opportunity/
2025-12-27,Billionaire Tesla CEO Elon Musk signaled his support for ...,Political_Event,"In a surprising move, Elon Musk publicly expresses his support for Republicans, setting the stage for a possible shift in the political landscape.",https://www.instagram.com/p/DTBAoNSj2rQ/
2025-12-27,Calendar of Activities | Vatican.va,Ritual_Event,... meeting of young people organized by the Taizé Community in Paris [28 December 2025 - 1st January 2026]. [FR]. External Link: https://www.vaticannews.va/en.,https://www.vatican.va/content/leo-xiv/en/events/event.dir.html/content/vaticanevents/en/2025/12/27/messaggio-taize.html
2025-12-27,Elon Musk,Political_Event,"The tech billionaire, who has publicly feuded with President Trump, wrote on social media that he would be creating “the America Party,” though he hadn't yet ...",https://www.nytimes.com/spotlight/elon-musk
2025-12-28,Jubilee 2025 Calendar,Holiday,Jubilee Calendar of Events. Expand each month (by clicking the + sign) to see each listing of the celebrations and events throughout the Jubilee Holy Year.,https://www.usccb.org/jubilee-2025-calendar
2025-12-28,Rome Jubilee 2025: Your Complete Guide to the Holy Year,Holiday,"The inaugural event of Rome Jubilee 2025 will be the Opening of the Holy Door of St Peter's Basilica on December 24, 2024. The Vatican is currently expecting ...",http://www.papalaudience.org/rome-jubilee-2025
2025-12-28,"America is Gone, says Elon Musk. IF Democrats win ...",Political_Event,"America is Gone, says Elon Musk. IF Democrats win the House in 26 and stall the recovery government, Musk believes the Republic as we know it - will be...",https://www.facebook.com/KevinSteeleTV/posts/america-is-gone-says-elon-musk-if-democrats-win-the-house-in-26-and-stall-the-re/1370851571389399/
2025-12-28,December 2025 Calendar of Public Holidays,Holiday,December 2025 Calendar view of national and regional public holidays observed by countries around the world.,https://www.officeholidays.com/calendars/2025/12
2025-12-29,Justice Department Fails to Redact Name and Personal ...,Political_Event,Justice Department Fails to Redact Name and Personal Information of Epstein Survivor. Released documents tied to the Epstein Files Transparency Act reportedly ...,https://meidasnews.com/news/justice-department-fails-to-redact-name-and-personal-information-of-epstein-survivor
2025-12-29,Times Opinion: As long as [REDACTED] has his thumb on ...,Political_Event,"As long as Trump keeps his thumb on the scales at the U.S. Department of Justice, no one should ever expect a fair shake — let alone an honest accounting of the ...",https://www.timesfreepress.com/news/2025/dec/29/times-opinion-as-long-as-redacted-has-his-thumb/
2025-12-30,"DOGE did not find $2T in fraud, but that doesn't matter, ...",Political_Event,"... 2025, approximately $248 billion higher by November of 2025 compared to the same month in 2024,” its report said. Over time, more will be learned about how ...",https://arstechnica.com/tech-policy/2025/12/doge-did-not-find-2t-in-fraud-but-that-doesnt-matter-musk-allies-say/
2025-12-30,We still don't really know what Elon Musk's Doge actually did,Political_Event,"“DOGE did not reduce spending, but it did reduce federal employment by nine percent in less than 10 months,” a recent analysis from the libertarian Cato ...",https://www.theguardian.com/technology/2025/dec/30/elon-musk-doge-impact-us-government
2025-12-30,Unredacted Epstein Files Show Why Redaction Is Mandatory,Political_Event,"In December 2025, government documents related to Jeffrey Epstein were released with redactions that could be easily reversed. Observers discovered they could ...",https://www.redactable.com/blog/epstein-unredacted-files-show-why-secure-redaction-is-mandatory-not-optional
2025-12-30,Pope Francis Declares 2025 a Year of Jubilee,Holiday,"Pope Francis officially declared 2025 a Year of Jubilee with a papal bull, titled “Spes Non Confudit,” meaning “Hope Does Not Disappoint.”",https://www.nashvillecatholic.org/news/posts/pilgrims-of-hope-pope-francis-declares-2025-a-year-of-jubilee
2025-12-30,More questions remain after partial Epstein file release,Media_Reaction,"The DOJ insists it's following the law, but that it's still weeks away from releasing every file, because officials are performing due diligence to ensure no ...",https://newschannel20.com/news/nation-world/more-questions-remain-after-partial-epstein-file-release-jeffrey-donald-trump-doj-fbi-ghislaine-maxwell-congress-deadline-transparency-massie-khanna
2025-12-30,"US DOJ to Review 5.2 Million Pages of Epstein Files, ...",Political_Event,"This is likely to extend the final release of ‍the documents to much later than expected ​after a December 19 deadline set by Congress, the document said. The ...",https://www.usnews.com/news/world/articles/2025-12-31/us-doj-to-review-5-2-million-pages-of-epstein-files-document-shows
2025-12-31,"January 2026 calendar includes New Year's Day, MLK Jr. ...",Holiday,"January 2026 calendar includes New Year's Day, MLK Jr. Day, more ; Mahayana New Year- Saturday, Jan. 3; Guru Gobind Singh Gurpurab- Monday, Jan. 5; Epiphany ...",https://www.usatoday.com/story/news/nation/2026/01/01/january-2026-calendar-holiday-schedule-list/87973684007/
2025-12-31,3 Market Predictions For January,Media_Reaction,"S&P 500 ends 2025 up 15%+ again; learn what extreme valuations, Q4 GDP trends & key January 2026 catalysts may mean—read the outlook now.",https://seekingalpha.com/article/4856565-3-market-predictions-for-january
2025-12-31,DOJ works through holidays to review Epstein files for ...,Holiday,Deputy Attorney General Todd Blanche says DOJ lawyers are working through Christmas and New Year's to review Epstein files before mandated release to the ...,https://www.foxnews.com/politics/doj-says-lawyers-working-clock-prep-epstein-files-release-missed-deadline
2025-12-31,Redacted Epstein Files: Here Is What Went Wrong (2025),Political_Event,DOJ's Epstein files redaction failed when users uncovered hidden text via copy-paste. Learn what went wrong and how secure redaction should work.,https://www.redactable.com/blog/redacted-epstein-files-here-is-what-went-wrong
2025-12-31,Federal Holidays in Calendar Year 2026,Holiday,"New Year's Day January 1 Thursday, January 1. Thursday, January 1. Thursday ... Christmas Day December 25 Friday, December 25. Friday, December 24* Thursday ...",https://www.fsis.usda.gov/policy/fsis-notice/43-25
2025-12-31,2026 Predictions: Cash-Strapped Oracle Issues Chip ...,Media_Reaction,"Oracle has a real problem: It's committed to building huge chip-filled data centers for OpenAI, but it doesn't have the cash to do so.",https://www.theinformation.com/articles/predictions-2026-cash-strapped-oracle-issues-chip-backed-debt
2025-12-31,"Pope at Audience: As we cross from old year to new, let us ...",Holiday,"At the final General Audience of 2025, Pope Leo XIV invites the faithful to give thanks for the past, seek forgiveness, and entrust the journey ahead to God's ...",https://www.vaticannews.va/en/pope/news/2025-12/pope-leo-general-audience-31-december-2025.html
2025-12-31,"During his final General Audience of the year 2025, Pope ...",Holiday,"During his final General Audience of the year 2025, Pope Leo XIV reflected on months of joy and sorrow — from the Holy Year pilgrimages to the passing of Pope ...",https://www.facebook.com/CatholicNewsAgency/posts/during-his-final-general-audience-of-the-year-2025-pope-leo-xiv-reflected-on-mon/1402491984571721/
2025-12-31,Calendar of Activities - December 2025 | Vatican.va,Ritual_Event,Calendar of Activities · To Labor Consultants. 12:00 · Message of the Holy Father Leo XIV for the 59th World Day of Peace [1 January 2026]. 11:30.,https://www.vatican.va/content/vatican/en/events/month.dir.html/2025/12.html
2025-12-31,Pope at final general audience of 2025: “Let us open our ...,Holiday,"During this Christmas season, let us open our hearts to the love of God made visible in the Child born in Bethlehem, and so come to share in the joy of ...",https://www.romereports.com/en/2025/12/31/pope-at-final-general-audience-of-2025-let-us-open-our-hearts/
2025-12-31,Redacting Andrew files 'like removing Trump from Epstein ...,Political_Event,The Cabinet Office's redaction of files relating to Andrew Mountbatten-Windsor has been compared to the controversial treatment of the Epstein files. Andrew ...,https://www.the-independent.com/news/uk/politics/andrew-prince-trump-epstein-file-b2892623.html
2025-12-31,Word of the Week: 'Redact' resurfaces with the Epstein files,Political_Event,Similar contradictions have plagued the Epstein files rollout — Trump's name was redacted in one version of a document released by the DOJ and visible in ...,https://ktvz.com/news/national-world/cnn-national/2025/12/31/word-of-the-week-redact-resurfaces-with-the-epstein-files/
2026-01-01,"January 2026 Calendar USA: Federal Holidays, Religious ...",Holiday,"Federal Holidays in January 2026 ; Mahayana New Year – Saturday, January 3; Guru Gobind Singh Gurpurab – Monday, January 5 ; Full Moon / Supermoon – Saturday, ...",https://matricbiharboard.com/january-2026-calendar/
2026-01-01,Office Holidays: Calendars of public holidays and bank holidays,Holiday,"Public Holidays in January 2026 ; 11. Sun, 11th of Jan ; 12. Mon, 12th of Jan ; 13. Tue, 13th of Jan ; 14. Wed, 14th of Jan ; 15. Thu, 15th of Jan.",https://www.officeholidays.com/
2026-01-01,Elon Musk Is Back on the Trump Train for 2026 Midterms,Political_Event,"Elon Musk seemed to confirm he resumed funding Republican politicians heading into the 2026 midterms, with the Tesla boss saying the USA is ""toast"" if Dems ...",https://www.mediaite.com/politics/elon-musk-is-back-on-the-trump-train-for-2026-midterms-america-is-toast-if-the-radical-left-wins/
2026-01-01,Musk signals GOP support in 2026 – months after Trump ...,Political_Event,"Billionaire Elon Musk signaled Thursday that he'll fund Republican candidates ahead of the 2026 midterm elections, arguing the country is doomed if ...",https://www.aol.com/news/musk-signals-gop-support-2026-013709840.html
2026-01-01,"January Holidays 2026: Daily, Weekly, Monthly Observances",Holiday,"In the United States, there are two major holidays celebrated in January: New Year's Day (January 1, 2026) and Martin Luther King, Jr. Day (January 19, 2026).",https://parade.com/living/january-holidays-observances
2026-01-01,Get the key dates on Pope Leo XIV's 2026 agenda,Holiday,"Get the key dates on Pope Leo XIV's 2026 agenda — major Vatican events, travels, and celebrations that will shape the Church's year ahead.",https://www.facebook.com/EWTNVatican/posts/get-the-key-dates-on-pope-leo-xivs-2026-agenda-major-vatican-events-travels-and-/1302481898588684/
2026-01-01,"Musk launches America Party, elicits mixed reactions",Political_Event,Who will a third political party in the US damage the most? Voters are trying to find answers even as Musk asks them where the first party congress should ...,https://www.nationalheraldindia.com/international/musk-launches-america-party-elicits-mixed-reactions
2026-01-01,Elon Musk indicates he's 'going all in' on financing the GOP ...,Political_Event,"After faltering in his plan to found a new 'America Party', the world's richest person is returning to the GOP fold.",https://www.the-independent.com/news/world/americas/us-politics/elon-musk-trump-republicans-donations-finance-gop-b2893321.html
2026-01-01,US Federal Holidays 2026,Holiday,"US Federal Holidays 2026 ; January 1, 2026, New Year's Day, Thursday ; January 19, 2026, Martin Luther King Day, Monday ; February 16, 2026, Presidents' Day* ...",https://www.calendarpedia.com/holidays/federal-holidays-2026.html
2026-01-01,2026 International Holidays,Holiday,"The above is the list of 2026 public holidays declared in International which includes federal, regional government holidays and popular observances.",https://www.calendarlabs.com/holidays/international/2026
2026-01-01,Billionaire Tesla CEO Elon Musk signaled his support for ...,Holiday,Billionaire Tesla CEO Elon Musk signaled his support for Republicans on New Year's Day ahead of the 2026 midterm elections after he feuded with President...,https://www.facebook.com/FOXBaltimore/posts/billionaire-tesla-ceo-elon-musk-signaled-his-support-for-republicans-on-new-year/1327897599382164/
2026-01-01,Key dates on the agenda of the pope and Vatican for 2026,Holiday,"Jan 1, 2026 / 07:00 am. Pope Leo XIV is preparing for a very busy year at the Vatican in 2026, with important events such as the conclusion of the Jubilee ...",https://www.catholicworldreport.com/2026/01/01/key-dates-on-the-agenda-of-the-pope-and-vatican-for-2026/
2026-01-02,"News You Can Use Digest - January 2, 2026",Political_Event,"... Epstein investigatory files. In mid-November, Congress passed the Epstein Files Transparency Act, which ordered the release of nearly all unclassified ...",https://stateandfed.com/campaign-finance/news-you-can-use-digest-january-2-2026/
2026-01-02,Billionaire who broke with Trump hints at a comeback,Political_Event,Tech billionaire Elon Musk appears to have jumped back into the political arena for President Donald Trump and the GOP. Musk took to his X platform on ...,https://www.nj.com/politics/2026/01/billionaire-who-broke-with-trump-hints-at-a-comeback-it-wont-be-america-anymore.html
2026-01-02,Pope Leo's potential destinations for 2026,Holiday,"The Church, Vatican events | 29/12/2025. July 2025: Pope returns to Castel Gandolfo for first time in 12 years · The Church | 29/12/2025. VATICAN II (Part 4): ...",https://www.romereports.com/en/2026/01/02/pope-leos-potential-destinations-for-2026/
2026-01-02,"Elon Musk backs Republicans, warns against 'radical left' ...",Holiday,WASHINGTON (TNND) — Billionaire Tesla CEO Elon Musk signaled his support for Republicans on New Year's Day ahead of the 2026 midterm elections after he ...,https://komonews.com/news/nation-world/tesla-space-x-billionaire-elon-musk-backs-republicans-warns-against-radical-left-ahead-of-2026-midterms-president-donald-trump-doge-one-big-beautiful-bill-act-political-donor
2026-01-02,Global Semiconductor Rally Charges into 2026 as Physical AI ...,Political_Event,"The industry reaction was immediate: as Oracle (NYSE: ORCL) announced the deployment of a 50,000-GPU ""Helios"" supercluster in late 2025, the competitive ...",https://markets.financialcontent.com/stocks/article/marketminute-2026-1-2-silicon-supremacy-global-semiconductor-rally-charges-into-2026-as-physical-ai-takes-center-stage
2026-01-02,Tesla's Declining Delivery Momentum and Strategic ...,Media_Reaction,Tesla's Declining Delivery Momentum and Strategic Rebalancing: Assessing the Long-Term Investment Implications. Jan.02 2026 ...,https://www.ainvest.com/news/tesla-declining-delivery-momentum-strategic-rebalancing-assessing-long-term-investment-implications-2601/
2026-01-03,Trump says 'we are going to run the country now' after ...,Political_Event,"President Trump says the United States conducted a strike in Venezuela and captured that country's president, Nicolás Maduro along with his wife, ...",https://www.wyomingpublicmedia.org/2026-01-03/trump-says-we-are-going-to-run-the-country-now-after-removing-venezuelas-president
2026-01-03,WATCH: Trump's remarks on the removal of Venezuelan ...,Political_Event,"President Trump says the United States conducted a strike in Venezuela and captured that country's president, Nicolás Maduro along with his wife, ...",https://www.npr.org/2026/01/03/g-s1-104346/trump-venezuela-maduro-press-conference
2026-01-03,Geopolitical Calendar,Holiday,The essential guide to the geopolitical events that will shape the global business environment in the coming year.,https://www.controlrisks.com/our-thinking/geopolitical-calendar
2026-01-03,Trump says 'we are going to run the country now' after ...,Political_Event,"President Trump says the United States conducted a strike in Venezuela and captured that country's president, Nicolás Maduro along with his wife, ...",https://laist.com/news/trump-says-we-are-going-to-run-the-country-now-after-removing-venezuelas-president
2026-01-03,Trump says US will run Venezuela after Maduro's 'capture',Political_Event,US says Venezuelan president will face drug-related charges in New York as Caracas decries Nicolas Maduro's capture. Published On 3 Jan 20263 Jan 2026.,https://www.aljazeera.com/news/liveblog/2026/1/3/live-loud-noises-heard-in-venezuelas-capital-amid-us-tensions
2026-01-03,A Timeline of Rising Tension Between the U.S. and ...,Political_Event,"President Trump on Saturday announced the capture of the authoritarian leader of Venezuela, Nicolás Maduro, in a U.S. military operation that appeared to be ...",https://www.nytimes.com/2026/01/03/world/americas/us-venezuela-tensions-timeline.html
2026-01-03,"New year, new Epstein transparency law, and Trump is ...",Holiday,The Epstein Files Transparency Act required all the Epstein files to be released on Dec. 19 with minimal redactions. The Department of Justice has refused ...,https://www.aol.com/articles/opinion-epstein-transparency-law-trump-183000049.html
2026-01-03,Holidays worldwide,Holiday,Public holidays and other special days in 200+ countries. Carefully researched and constantly updated.,https://www.timeanddate.com/holidays/
2026-01-03,Forget 2025: These 3 Growth Stocks Could Soar in 2026,Media_Reaction,"The Motley Fool has positions in and recommends Alphabet, Amazon, Apple, JPMorgan Chase, Mastercard, Microsoft, Netflix, Oracle, Visa, and Warner Bros.",https://www.nasdaq.com/articles/forget-2025-these-3-growth-stocks-could-soar-2026
2026-01-03,Oracle investors have questions about its spending,Media_Reaction,"Oracle shares slid more than 6% on Wednesday in after-hours trading, after the software giant posted revenue results that missed expectations.",https://www.aol.com/articles/oracle-misses-quarterly-revenue-questions-220527016.html
2026-01-03,Upcoming EU Public Holidays (European Union),Holiday,"Upcoming EU Public Holidays (January to November 2026) ; Sep 28, Monday, Czech Republic ; Oct 1, Thursday, Cyprus ; Oct 3, Saturday, Germany ; Oct 4, Sunday, Italy.",https://www.qppstudio.net/public-holidays/eu.htm
2026-01-03,A timeline of the US military's buildup and strikes against ...,Media_Reaction,A timeline of the US military's buildup and strikes against Venezuela leading to Maduro's capture. Supporters display a poster of Venezuelan President Nicolás ...,https://www.latimes.com/world-nation/story/2026-01-03/timeline-of-us-militarys-buildup-strikes-against-venezuela-leading-to-maduros-capture
2026-01-03,President Trump speaks live after US strikes Venezuela ; ...,Political_Event,"Trump updates the public after the U.S. captured President Maduro of Venezuela for narco-terrorism conspiracy and corruption charges in a ""large-scale""...",https://www.facebook.com/fox5atlanta/videos/president-trump-speaks-live-after-us-strikes-venezuela-captures-president-maduro/1158462432765327/
2026-01-03,Stock Market Holiday Calendar,Holiday,"Our Holiday Calendar tracks market closings for world holidays. Filter by countries and exchanges for a list of scheduled events, closing dates and times.",https://www.investing.com/holiday-calendar/
2026-01-03,Retail traders' favorite stocks best the market for third ...,Media_Reaction,"The opening trading day of 2026 was phenomenal for the AI picks and shovels trade, while very poor for their more downstream peers. How and why did this happen?",https://sherwood.news/markets/retail-traders-favorite-stocks-best-the-market-for-third-straight-year/
2026-01-03,2025 Holidays,Holiday,"2025 Holidays ; January 1, 2025, New Year's Day, Wednesday ; January 20, 2025, Martin Luther King Day, Monday ; January 20, 2025, Inauguration Day, Monday ; January ...",https://www.calendar-365.com/holidays/2025.html
